CourseGroupId,Name,CoursesRequired,CreditsRequired,Courses
CSEng,CS Engineering Requirements,8,26,CHEM111;MATH121;MATH122;MATH223;PHYS121;PHYS122;ENGR398;ENGL398
LinAlg,Linear Algebra,1,3,MATH201;MATH307
CSCore,Computer Science Core Requirement,6,21,CSDS132;CSDS233;CSDS281;CSDS302;CSDS310;CSDS395
CSBreadth,Computer Science Breadth Requirement,5,0,CSDS314;CSDS325;CSDS338;CSDS341;CSDS341;CSDS345;CSDS391;CSDS393
CSStats,Computer Science Statistics Requirement,1,3,MATH380;STAT312;STAT313;STAT332;STAT333
SweDepth,Software Engineering Depth,2,0,CSDS293;CSDS337;CSDS344;CSDS392;CSDS427;CSDS438;CSDS441;CSDS448
AlgDepth,Algorithms and Theory Depth,2,0,CSDS394;CSDS440;CSDS455;CSDS477;MATH406;MATH408;PHIL306
CSNetSecDepth,Computer Systems Network and Security Depth,2,0,CSDS312;CSDS337;CSDS344;CSDS356;CSDS427;CSDS428;CSDS438;CSDS441;CSDS448;MATH408
DbDmDepth,Databases and Data Mining Depth,3,0,CSDS234;CSDS313;CSDS339;CSDS405;CSDS405;CSDS433;CSDS435;CSDS440;MATH382;MATH444
BioInfoDepth,Bioinformatics Depth,2,0,CSDS341;CSDS435;CSDS440;CSDS459
AIDepth,Artifical Intelligence Depth,3,0,CSDS394;CSDS440;CSDS442;CSDS491;CSDS496;CSDS497;CSDS499;ECSE484;MATH382
CSTech,Computer Science Technical Electives,5,0,CSDS275;CSDS290;CSDS315;CSDS366;CSDS373;CSDS376;CSDS377;CSDS390;CSDS478;CSDS490;ECSE301;ECSE303;ECSE317;ECSE318;ECSE419;ECSE485;ECSE488;MATH330;MATH431;CSDS489;ECON380;ECSE245;ECSE246;ECSE304;ECSE305;ECSE309;ECSE313;ECSE319;ECSE324;ECSE346;ECSE350;ECSE354;ECSE375;ECSE408;ECSE413;ECSE414;ECSE416;ECSE489;ENGR210;MATH224;MATH228;MATH303;MATH308;MATH327;MATH413;MATH439;MATH475;MATH497;PHIL201;PHYS221;PHYS250;STAT345;STAT346
PhedUniversity,Physical Education Requirement,0,4,PHED1;PHED2;PHED3;PHED4
NASages,Natural World Sages,1,0,FSNA000;USNA000
SYSages,Symbolic Sages Requirement,1,0,FSSY000;USSY000
SOSages,Social Sages Requirement,1,0,FSSO000;USSO000
HumSocSciEng,Engineering Breadth,4,12,HUSS001;HUSS002;HUSS003;HUSS004;POSC109;POSC160;POSC172;POSC301;POSC306;POSC308;POSC318;POSC319;POSC321;POSC322;POSC323;POSC325;POSC326;POSC327
MathMinor17,Math Minor Possible Courses,0,17,MATH121;MATH125;MATH122;MATH124;MATH126;MATH223;MATH227;MATH224;MATH228;MATH150;MATH201;MATH307;MATH301;MATH302;MATH303;MATH304;MATH308;MATH321;MATH322;MATH324;MATH327;MATH330;MATH338;CSDS343;MATH380;MATH406;MATH408;MATH444;MATH431;MATH413;MATH439;MATH475;MATH497;MATH401;MATH402;MATH405;MATH419;MATH423;MATH424
POSC300Level,300-Level Political Science Classes,3,9,POSC301;POSC306;POSC308;POSC318;POSC319;POSC321;POSC322;POSC323;POSC325;POSC326;POSC327
AllPOSC,Political Science Minor Classes,5,15,POSC109;POSC160;POSC172;POSC301;POSC306;POSC308;POSC318;POSC319;POSC321;POSC322;POSC323;POSC325;POSC326;POSC327
